100.000000E-2,0.000000E-2
99.668000E-2,0.085000E-2
98.723000E-2,0.352000E-2
97.254000E-2,0.783000E-2
95.309000E-2,1.315000E-2
92.892000E-2,1.919000E-2
90.035000E-2,2.596000E-2
86.796000E-2,3.335000E-2
83.232000E-2,4.107000E-2
79.402000E-2,4.878000E-2
75.361000E-2,5.591000E-2
71.125000E-2,6.181000E-2
66.676000E-2,6.627000E-2
62.030000E-2,6.956000E-2
57.238000E-2,7.183000E-2
52.353000E-2,7.309000E-2
47.424000E-2,7.337000E-2
42.505000E-2,7.271000E-2
37.645000E-2,7.111000E-2
32.896000E-2,6.864000E-2
28.307000E-2,6.533000E-2
23.925000E-2,6.124000E-2
19.797000E-2,5.645000E-2
15.965000E-2,5.105000E-2
12.469000E-2,4.512000E-2
9.345000E-2,3.877000E-2
6.626000E-2,3.213000E-2
4.342000E-2,2.533000E-2
2.521000E-2,1.850000E-2
1.180000E-2,1.175000E-2
0.695000E-2,0.848000E-2
0.273000E-2,0.472000E-2
0.093000E-2,0.242000E-2
0.016000E-2,0.087000E-2
0.001000E-2,-0.005000E-2
0.020000E-2,-0.096000E-2
0.103000E-2,-0.248000E-2
0.293000E-2,-0.470000E-2
0.729000E-2,-0.827000E-2
1.232000E-2,-1.136000E-2
2.590000E-2,-1.749000E-2
4.416000E-2,-2.344000E-2
6.686000E-2,-2.906000E-2
9.368000E-2,-3.419000E-2
12.428000E-2,-3.860000E-2
15.828000E-2,-4.202000E-2
19.548000E-2,-4.404000E-2
23.588000E-2,-4.452000E-2
27.935000E-2,-4.360000E-2
32.555000E-2,-4.142000E-2
37.410000E-2,-3.810000E-2
42.460000E-2,-3.383000E-2
47.660000E-2,-2.880000E-2
52.960000E-2,-2.328000E-2
58.304000E-2,-1.752000E-2
63.631000E-2,-1.183000E-2
68.875000E-2,-0.650000E-2
73.965000E-2,-0.181000E-2
78.823000E-2,0.199000E-2
83.369000E-2,0.472000E-2
87.521000E-2,0.627000E-2
91.198000E-2,0.662000E-2
94.322000E-2,0.585000E-2
96.811000E-2,0.417000E-2
98.594000E-2,0.216000E-2
99.652000E-2,0.059000E-2
100.000000E-2,0.000000E-2
